CustomerID,Name,ContactNumber,Email,Address,industryType,AccountManagerID
1350,South Korea,758-5158,gravida@google.edu,7939 Dui. Road,Pellentesque Tellus Consulting,2817
1945,Singapore,1-437-565-4313,laoreet.posuere.enim@yahoo.com,507-4620 Per Rd.,Donec Inc.,2426
1534,Vietnam,1-645-685-1453,ante@hotmail.org,545-4914 Rutrum. St.,Metus Urna Convallis Corp.,2637
1844,South Africa,737-7140,in@outlook.ca,6445 Cum Road,Nibh Quisque Nonummy LLP,2121
1898,Ukraine,1-792-883-6687,elit.pretium@icloud.net,374-4933 In Avenue,Ac Mattis Limited,2289
1197,Sweden,1-488-612-6511,eget.nisi@icloud.net,Ap #863-1306 Cras Av.,Enim Curabitur Massa Associates,2395
1660,United Kingdom,1-208-831-0222,fusce.aliquam@aol.net,"952-6929 Amet, St.",Lorem Industries,2202
1711,Nigeria,1-856-276-1490,metus.aliquam@icloud.couk,Ap #115-1150 Justo. Street,Fermentum Fermentum Limited,2502
1228,India,1-895-468-5878,lobortis.mauris@icloud.com,Ap #390-6637 Quam Rd.,Accumsan Neque Incorporated,2079
1520,Nigeria,1-522-960-8280,molestie.orci@yahoo.ca,"Ap #866-3022 At, Road",Donec Corp.,2406
1313,Australia,855-6257,risus@outlook.ca,"P.O. Box 567, 7758 Magna. Street",Eget Varius Ultrices LLC,2243
1365,Ukraine,1-771-673-7855,bibendum@protonmail.ca,Ap #889-4222 Nunc St.,Ante Blandit Limited,2425
1635,India,1-227-490-3761,molestie.sodales@hotmail.edu,Ap #359-9522 Nam Av.,Tincidunt Company,2950
1864,Mexico,678-6866,dictum.phasellus.in@google.edu,858-6237 Dapibus Road,In Molestie LLC,2214
1059,Spain,1-256-468-5467,praesent.interdum.ligula@yahoo.net,Ap #749-609 Mattis Street,Euismod In Industries,2544
1814,Norway,1-442-252-8131,ut.nec.urna@hotmail.ca,329-804 Magna Ave,Erat Volutpat Nulla LLP,2115
1751,Austria,297-1987,accumsan.convallis@outlook.ca,Ap #483-1714 Nam Road,Egestas Fusce Aliquet Incorporated,2014
1527,United Kingdom,873-1655,lectus.rutrum.urna@google.edu,"P.O. Box 741, 6492 Convallis Rd.",Enim Sit Corp.,2211
1438,Singapore,664-4643,commodo.hendrerit.donec@protonmail.ca,Ap #340-298 Ac Ave,Volutpat Foundation,2428
1407,Indonesia,1-876-745-5377,mattis.velit.justo@hotmail.ca,5445 Lorem Rd.,Magna Phasellus Industries,2068
1087,Chile,454-2144,lobortis.quis@aol.ca,"201-4666 Vitae, Street",Urna Inc.,2262
1428,India,611-3801,convallis.est.vitae@aol.net,166-5920 Sed Avenue,Porttitor Vulputate Institute,2412
1859,Peru,525-2594,et.ipsum@icloud.net,Ap #843-9956 Neque Avenue,Et Lacinia Vitae Limited,2559
1379,Australia,1-188-256-9577,auctor.ullamcorper@outlook.edu,"Ap #178-9418 Purus, Rd.",Augue Id Inc.,2827
1157,Nigeria,515-1324,aliquet.magna.a@protonmail.edu,Ap #285-8097 Adipiscing. Rd.,Vitae Semper Limited,2982
1102,United States,1-254-243-7258,euismod.est@aol.net,1994 Imperdiet Avenue,Ut Quam PC,2531
1365,Ireland,1-345-688-6427,consequat.enim@google.couk,"P.O. Box 609, 6716 Sagittis Rd.",Id Blandit At LLP,2103
1855,Austria,336-3023,suspendisse.sagittis.nullam@icloud.edu,"478-6538 A, Street",Eu Nulla At LLP,2666
1399,Vietnam,1-952-644-9935,scelerisque@hotmail.edu,Ap #377-5589 Faucibus Av.,Nec Eleifend Institute,2965
1202,Australia,1-547-647-7308,interdum.sed@icloud.com,"188-6166 Lorem, Rd.",Porttitor Tellus Corporation,2298
1602,Turkey,801-3996,nostra.per@hotmail.ca,1804 Accumsan St.,Sed Eget Inc.,2697
1535,India,288-2545,orci.phasellus@google.org,Ap #131-1678 Dolor Rd.,Mauris Suspendisse LLP,2980
1747,Sweden,1-235-209-8271,nulla.tempor@protonmail.net,Ap #254-8820 Adipiscing Avenue,Vel LLC,2323
1967,Germany,1-824-135-4271,sed.nec@protonmail.net,114-594 Ipsum St.,Integer Vulputate Ltd,2425
1921,Australia,1-414-817-8911,nulla.interdum@yahoo.org,"Ap #110-8593 Risus, St.",Ipsum Industries,2576
1972,Canada,1-918-139-4381,ante.nunc.mauris@hotmail.org,Ap #577-1913 Sed Street,Vulputate Industries,2906
1352,Brazil,153-2651,ipsum.cursus@protonmail.couk,Ap #896-2574 Aliquam Rd.,Nunc Interdum Feugiat Associates,2611
1133,Sweden,462-6443,eget.metus.in@aol.net,"P.O. Box 260, 4340 Orci. Road",Lobortis Mauris Suspendisse Institute,2461
1614,Australia,1-223-374-3169,molestie.tortor@aol.net,782-5004 Sed Ave,Et Eros Consulting,2937
1430,Nigeria,650-2472,iaculis.aliquet.diam@hotmail.couk,"P.O. Box 121, 5991 Molestie Street",Sed Institute,2317
1236,Ireland,1-861-944-7935,sollicitudin.commodo@yahoo.ca,Ap #802-2687 Non Rd.,Erat Vel Limited,2587
1333,Chile,331-7271,commodo.tincidunt@protonmail.ca,942-4494 Quisque Road,Mauris Eu Institute,2512
1131,Spain,813-5858,mauris.sagittis@icloud.net,Ap #461-931 Eleifend Rd.,Nibh Donec Inc.,2752
1339,France,1-586-638-8551,ipsum.ac@yahoo.org,"P.O. Box 259, 5316 Est Avenue",Donec At PC,2825
1894,Ukraine,1-113-822-2437,volutpat.ornare.facilisis@hotmail.edu,2887 Ante Avenue,Fusce Aliquet Institute,2893
1460,Ireland,255-5188,elementum@google.net,Ap #749-5200 Mauris Street,Lacus Nulla Tincidunt Corp.,2416
1153,Costa Rica,1-562-864-8243,vehicula.aliquet@icloud.ca,"P.O. Box 845, 243 Lacus. Avenue",Lorem Ut LLC,2993
1213,Netherlands,1-725-171-9712,tellus.justo@protonmail.ca,"Ap #694-1049 Augue, St.",Proin Dolor Corporation,2230
1996,Italy,332-6219,ornare@hotmail.org,Ap #502-8009 Odio St.,Mauris Non Consulting,2208
1573,Chile,555-8658,nam@yahoo.org,"P.O. Box 759, 5407 Pellentesque St.",Metus In Institute,2187
1598,Colombia,516-5174,magna.duis.dignissim@icloud.ca,439-5547 Eu Avenue,Amet Inc.,2089
1575,Germany,1-334-337-2445,nec.urna@yahoo.org,"P.O. Box 289, 2260 Vivamus St.",Malesuada Fames Ac PC,2900
1185,China,673-5905,nulla@yahoo.ca,"6299 Consectetuer, Ave",Cum Sociis Inc.,2211
1710,India,347-3771,cubilia.curae@outlook.ca,"P.O. Box 571, 2052 Mauris Rd.",Accumsan Laoreet LLC,2266
1924,New Zealand,749-3635,tincidunt.orci@yahoo.com,2883 Leo. Rd.,Semper Foundation,2404
1995,Norway,588-3484,vitae@google.edu,629-7137 Pellentesque Rd.,Ac Metus Corporation,2942
1719,Colombia,1-943-243-0253,felis.orci.adipiscing@google.com,152-3702 Leo. Rd.,Ipsum Foundation,2915
1797,Russian Federation,1-214-220-1527,rhoncus.nullam.velit@icloud.couk,219-3793 Leo. St.,Enim Suspendisse Inc.,2312
1966,Brazil,246-1034,mauris.sagittis.placerat@icloud.org,Ap #670-4909 Mattis. St.,Penatibus Et Magnis Consulting,2206
1188,South Korea,912-5263,in.sodales.elit@outlook.com,5121 Consectetuer Avenue,Donec Est Ltd,2388
1896,Vietnam,622-6333,nulla.facilisi@hotmail.net,7054 Sit St.,Enim Associates,2452
1722,India,1-744-586-6981,dis.parturient@aol.edu,9747 Turpis Road,Sit Amet LLP,2981
1119,Canada,238-5978,pharetra.ut@google.ca,"P.O. Box 666, 4774 Nisi Rd.",Dolor Institute,2201
1427,Indonesia,754-9777,adipiscing.elit@google.net,Ap #826-5699 Tempus Avenue,Sed Est LLP,2569
1079,Colombia,1-466-622-9822,vivamus.nisi@protonmail.ca,Ap #356-2615 Nulla Rd.,Ultrices Posuere Foundation,2340
1173,United States,1-637-592-6646,at.arcu@aol.edu,930-5936 Parturient St.,Conubia Nostra Inc.,2858
1296,Sweden,1-742-453-9648,ac.libero@aol.ca,Ap #662-127 Morbi St.,Cursus Integer Mollis Associates,2964
1913,Sweden,1-845-627-1031,pulvinar.arcu@yahoo.net,8520 Malesuada Avenue,Sed Dui Foundation,2483
1469,Nigeria,1-274-230-1148,adipiscing.ligula.aenean@outlook.org,Ap #198-7756 Tellus Rd.,Libero Integer Inc.,2274
1858,Russian Federation,576-1846,urna.convallis@aol.org,"Ap #447-9696 A, St.",Lorem Industries,2947
1387,Chile,430-4322,ut.tincidunt@icloud.net,"946-2625 Suscipit, Rd.",Lacus Quisque Imperdiet LLP,2997
1868,Turkey,1-568-601-2883,adipiscing.lobortis.risus@protonmail.ca,5999 Lectus Road,Vitae Sodales Industries,2243
